[2023.09.12 16:28:24.174] [HTTP] /client/resources/img/right.png (Method: GET, IP: ::1)
[2023.09.12 16:28:24.176] [HTTP] /client/resources/jpg/main5.png (Method: GET, IP: ::1)
[2023.09.12 16:28:53.694] ★★★ Node.js를 활용한 Web Server 구동(Port:80) ★★★
[2023.09.12 16:30:34.416] [HTTP] / (Method: GET, IP: ::1)
[2023.09.12 16:30:34.511] [HTTP] /client/resources/css/style.css (Method: GET, IP: ::1)
[2023.09.12 16:30:34.513] [HTTP] /client/resources/js/jquery-2.1.1.min.js (Method: GET, IP: ::1)
[2023.09.12 16:30:34.514] [HTTP] /client/resources/css/stylem.css (Method: GET, IP: ::1)
[2023.09.12 16:30:34.528] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.09.12 16:30:34.572] [HTTP] /client/resources/jpg/kopi.jpg (Method: GET, IP: ::1)
[2023.09.12 16:30:34.573] [HTTP] /client/resources/jpg/main2.png (Method: GET, IP: ::1)
[2023.09.12 16:30:34.575] [HTTP] /client/resources/jpg/main3.png (Method: GET, IP: ::1)
[2023.09.12 16:30:34.578] [HTTP] /client/resources/jpg/main5.png (Method: GET, IP: ::1)
[2023.09.12 16:30:34.580] [HTTP] /client/resources/img/left.png (Method: GET, IP: ::1)
[2023.09.12 16:30:34.582] [HTTP] /client/resources/img/right.png (Method: GET, IP: ::1)
[2023.09.12 16:30:34.583] [HTTP] /client/resources/jpg/new1.jpg (Method: GET, IP: ::1)
[2023.09.12 16:30:34.586] [HTTP] /client/resources/jpg/new2.jpg (Method: GET, IP: ::1)
[2023.09.12 16:30:34.587] [HTTP] /client/resources/jpg/new3.jpg (Method: GET, IP: ::1)
[2023.09.12 16:30:34.588] [HTTP] /client/resources/jpg/new4.jpg (Method: GET, IP: ::1)
[2023.09.12 16:30:34.591] [HTTP] /client/resources/jpg/ba.jpg (Method: GET, IP: ::1)
[2023.09.12 16:30:37.882] [HTTP] /dataSelectList.json (Method: POST, IP: ::1)
[2023.09.12 16:30:37.903] [HTTP] /client/resources/img/up.png (Method: GET, IP: ::1)
[2023.09.12 16:30:37.905] [HTTP] /client/resources/img/americano.png (Method: GET, IP: ::1)
[2023.09.12 16:30:37.905] [HTTP] /client/resources/img/cafe_latte.png (Method: GET, IP: ::1)
[2023.09.12 16:30:37.906] [HTTP] /client/resources/img/ade.png (Method: GET, IP: ::1)
[2023.09.12 16:30:37.907] [HTTP] /client/resources/img/smoothie.png (Method: GET, IP: ::1)
[2023.09.12 16:30:37.917] [Error:500] /dataSelectList.json/n Error: connect ECONNREFUSED ::1:8080
    at TCPConnectWrap.afterConnect [as oncomplete] (node:net:1495:16)/n
[2023.09.12 16:30:37.919] [HTTP] /client/resources/img/coke.png (Method: GET, IP: ::1)
[2023.09.12 16:30:37.920] [HTTP] /client/resources/img/frappuccino.png (Method: GET, IP: ::1)
[2023.09.12 16:31:49.411] [HTTP] /cafe.page (Method: GET, IP: ::1)
[2023.09.12 16:31:49.432] [HTTP] /client/resources/css/style.css (Method: GET, IP: ::1)
[2023.09.12 16:31:49.434] [HTTP] /client/resources/css/stylem.css (Method: GET, IP: ::1)
[2023.09.12 16:31:49.435] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.09.12 16:31:49.436] [HTTP] /client/resources/js/jquery-2.1.1.min.js (Method: GET, IP: ::1)
[2023.09.12 16:31:49.471] [HTTP] /client/resources/img/up.png (Method: GET, IP: ::1)
[2023.09.12 16:31:49.474] [HTTP] /client/resources/img/americano.png (Method: GET, IP: ::1)
[2023.09.12 16:31:49.482] [HTTP] /client/resources/img/cafe_latte.png (Method: GET, IP: ::1)
